AN,AT,CU,AR,PL,PJ
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,0,0
12.148,4.808,5.453,23.672,0,0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,-294.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,-192.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,5.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,5.0,10.0
AN,AT,CU,AR,PL,PJ
11.909,1.848,5.47,24.759,5.0,10.0
12.148,4.808,5.453,23.672,5.0,10.0
