WARNING:18:04:34,351:[10299]:Trader:(PID 10299) - starting Trader
WARNING:18:04:42,830:[10299]:Trader:handleActivate: 1548353082.8300698
WARNING:18:04:42,846:[10299]:Trader:UUID: 28DA95DCC29158AC32F1323D89FBF340
WARNING:18:04:42,851:[10299]:Trader:UUID: 80DDC7D2B8C62F07A34C254E9A568511, STATE: on
WARNING:18:04:42,864:[10299]:Trader:UUID: 7617A87F4BE246C243286B87AD4E62FC, STATE: on
WARNING:18:04:42,874:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: on
WARNING:18:04:42,890:[10299]:Trader:UUID: 1CFCD1E080D7A04E8AFC2586E663241B, STATE: on
WARNING:18:04:42,899:[10299]:Trader:UUID: A66895E7D7A4353062572B0D9AC6C683, STATE: on
WARNING:18:04:42,904:[10299]:Trader:UUID: 16185FEF6D10B909525DF3B5727D756A, STATE: on
WARNING:18:04:42,910:[10299]:Trader:UUID: 016151DB4B20B9DD6CDC47DEEA0E1AD9, STATE: on
WARNING:18:04:42,915:[10299]:Trader:UUID: D274018438DF61CB6F0FC29C03FBFA4D, STATE: on
WARNING:18:04:42,920:[10299]:Trader:UUID: 0A8123CA5442A19FEC22778C392CE871, STATE: on
WARNING:18:04:42,933:[10299]:Trader:UUID: 16185FEF6D10B909525DF3B5727D756A, STATE: on
WARNING:18:04:42,940:[10299]:Trader:UUID: 016151DB4B20B9DD6CDC47DEEA0E1AD9, STATE: on
WARNING:18:05:23,172:[10299]:Trader:Connected: 1
WARNING:18:06:52,013:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: off
WARNING:18:07:11,709:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: on
WARNING:18:07:12,763:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: on
WARNING:18:07:53,059:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: off
WARNING:18:08:01,751:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: on
WARNING:18:08:02,233:[10299]:Trader:UUID: FA7108D15F41013AF13EF6BF9E563016, STATE: on
